Date,close_Pulp,open_Pulp,high_Pulp,low_Pulp
2019-02-25,64.76,66.97,67.47,64.54
2019-02-26,65.21,64.79,65.74,64.32
2019-02-27,66.39,65.64,66.7,65.27
2019-02-28,66.03,66.38,66.38,65.67
2019-03-01,65.07,66.48,67.14,64.59
2019-03-02,65.07,66.48,67.14,64.59
2019-03-03,65.07,66.48,67.14,64.59
2019-03-04,65.67,64.97,66.34,64.93
2019-03-05,65.86,65.46,66.23,65.04
2019-03-06,65.99,65.49,66.18,65.22
2019-03-07,66.3,65.88,67.0,65.75
2019-03-08,65.74,66.08,66.09,64.02
2019-03-09,65.74,66.08,66.09,64.02
2019-03-10,65.74,66.08,66.09,64.02
2019-03-11,66.58,65.76,66.75,65.63
2019-03-12,66.67,66.7,67.39,66.34
2019-03-13,67.55,66.91,67.76,66.7
2019-03-14,67.23,67.65,68.14,67.03
2019-03-15,67.16,67.18,67.71,66.13
2019-03-16,67.16,67.18,67.71,66.13
2019-03-17,67.16,67.18,67.71,66.13
2019-03-18,67.54,67.14,67.69,66.69
2019-03-19,67.61,67.49,68.2,67.13
2019-03-20,68.5,67.66,68.57,67.19
2019-03-21,67.86,68.38,68.69,67.59
2019-03-22,67.03,67.76,67.98,66.2
2019-03-23,67.03,67.76,67.98,66.2
2019-03-24,67.03,67.76,67.98,66.2
2019-03-25,67.21,67.0,67.65,66.36
2019-03-26,67.97,67.36,68.23,67.24
2019-03-27,67.83,67.9,68.35,67.19
2019-03-28,67.82,67.75,68.0,66.54
2019-03-29,68.39,68.01,68.89,67.81
2019-03-30,68.39,68.01,68.89,67.81
2019-03-31,68.39,68.01,68.89,67.81
2019-04-01,69.01,67.58,69.22,67.58
2019-04-02,69.37,69.22,69.58,68.69
2019-04-03,69.31,69.47,69.96,68.8
2019-04-04,69.4,69.44,70.03,68.87
2019-04-05,70.34,69.13,70.48,68.92
2019-04-06,70.34,69.13,70.48,68.92
2019-04-07,70.34,69.13,70.48,68.92
2019-04-08,71.1,70.56,71.19,70.43
2019-04-09,70.61,71.19,71.34,70.3
2019-04-10,71.73,70.82,71.78,70.57
2019-04-11,70.83,71.56,71.68,70.57
2019-04-12,71.55,70.95,71.87,70.9
2019-04-13,71.55,70.95,71.87,70.9
2019-04-14,71.55,70.95,71.87,70.9
2019-04-15,71.18,71.55,71.6,70.78
2019-04-16,71.72,71.21,71.95,70.74
2019-04-17,71.62,71.83,72.27,71.45
2019-04-18,71.97,71.63,72.04,71.2
2019-04-19,71.97,71.63,72.04,71.2
2019-04-20,71.97,71.63,72.04,71.2
2019-04-21,71.97,71.63,72.04,71.2
2019-04-22,74.04,71.93,74.52,71.86
2019-04-23,74.51,74.38,74.73,73.99
2019-04-24,74.57,74.27,74.73,74.02
2019-04-25,74.35,74.46,75.6,74.0
2019-04-26,72.15,74.2,74.42,71.3
2019-04-27,72.15,74.2,74.42,71.3
2019-04-28,72.15,74.2,74.42,71.3
2019-04-29,72.04,71.56,72.5,71.06
2019-04-30,72.8,71.94,73.27,71.73
2019-05-01,72.18,71.73,72.36,71.3
2019-05-02,70.75,72.0,72.22,69.68
2019-05-03,70.85,70.48,71.54,69.95
2019-05-04,70.85,70.48,71.54,69.95
2019-05-05,70.85,70.48,71.54,69.95
2019-05-06,71.24,70.59,71.79,68.79
2019-05-07,69.88,71.15,71.33,69.38
2019-05-08,70.37,69.88,70.7,69.33
2019-05-09,70.39,70.23,70.65,69.4
2019-05-10,70.62,70.45,71.23,70.18
2019-05-11,70.62,70.45,71.23,70.18
2019-05-12,70.62,70.45,71.23,70.18
2019-05-13,70.23,70.83,72.58,69.72
2019-05-14,71.24,70.02,71.65,69.93
2019-05-15,71.77,70.9,72.25,70.42
2019-05-16,72.62,72.05,73.36,71.82
2019-05-17,72.21,72.82,73.23,71.79
2019-05-18,72.21,72.82,73.23,71.79
2019-05-19,72.21,72.82,73.23,71.79
2019-05-20,71.97,72.5,73.4,71.6
2019-05-21,72.18,72.15,72.52,71.63
2019-05-22,70.99,71.91,72.04,70.42
2019-05-23,67.76,70.86,70.97,67.02
2019-05-24,68.69,67.99,69.3,67.33
2019-05-25,68.69,67.99,69.3,67.33
2019-05-26,68.69,67.99,69.3,67.33
2019-05-27,70.11,69.15,70.23,68.53
2019-05-28,70.11,69.99,70.59,69.58
2019-05-29,69.45,70.1,70.1,68.08
2019-05-30,66.87,69.68,69.96,66.31
2019-05-31,64.49,66.24,66.28,64.37
2019-06-01,64.49,66.24,66.28,64.37
2019-06-02,64.49,66.24,66.28,64.37
2019-06-03,61.28,61.64,62.84,60.55
2019-06-04,61.97,61.0,62.12,60.21
2019-06-05,60.63,61.58,62.27,59.45
2019-06-06,61.67,60.4,62.43,60.22
2019-06-07,63.29,62.4,63.59,61.77
2019-06-08,63.29,62.4,63.59,61.77
2019-06-09,63.29,62.4,63.59,61.77
2019-06-10,62.29,63.58,64.1,62.05
2019-06-11,62.29,62.3,62.87,62.01
2019-06-12,59.97,61.79,61.85,59.57
2019-06-13,61.31,59.94,62.64,59.78
2019-06-14,62.01,61.25,62.57,60.74
2019-06-15,62.01,61.25,62.57,60.74
2019-06-16,62.01,61.25,62.57,60.74
2019-06-17,60.94,62.07,62.37,60.74
2019-06-18,62.14,60.93,62.84,60.25
2019-06-19,61.82,62.4,62.55,61.4
2019-06-20,64.45,62.45,64.82,62.4
2019-06-21,65.2,64.86,65.76,64.0
2019-06-22,65.2,64.86,65.76,64.0
2019-06-23,65.2,64.86,65.76,64.0
2019-06-24,64.86,65.5,65.79,64.08
2019-06-25,65.05,64.89,65.98,64.17
2019-06-26,66.49,65.8,66.85,65.6
2019-06-27,66.55,66.05,66.82,65.63
2019-06-28,66.55,66.51,66.84,66.08
2019-06-29,66.55,66.51,66.84,66.08
2019-06-30,66.55,66.51,66.84,66.08
2019-07-01,65.06,65.05,66.75,64.22
2019-07-02,62.4,64.8,65.51,62.22
2019-07-03,63.82,62.9,64.01,62.09
2019-07-04,63.3,63.88,64.07,62.95
2019-07-05,64.23,63.27,64.52,62.91
2019-07-06,64.23,63.27,64.52,62.91
2019-07-07,64.23,63.27,64.52,62.91
2019-07-08,64.11,64.34,65.14,63.79
2019-07-09,64.16,63.81,64.75,63.76
2019-07-10,67.01,64.78,67.12,64.63
2019-07-11,66.52,66.81,67.65,66.43
2019-07-12,66.72,66.83,67.29,66.51
2019-07-13,66.72,66.83,67.29,66.51
2019-07-14,66.72,66.83,67.29,66.51
2019-07-15,66.48,66.87,67.47,66.11
2019-07-16,64.35,66.31,67.09,63.82
2019-07-17,63.66,64.44,65.28,63.22
2019-07-18,61.93,63.52,64.46,61.29
2019-07-19,62.47,62.5,63.37,61.83
2019-07-20,62.47,62.5,63.37,61.83
